Time,City,Id,parameter,value,status,valid
2025-04-07T00:30:00+02:00,Modiin,64,NO,0.6,1,TRUE
2025-04-07T00:30:00+02:00,Modiin,64,NO2,12.9,1,TRUE
2025-04-07T00:30:00+02:00,Modiin,64,PM10,94.2,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,SO2,1.5,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WS,-9999,0,FALSE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WD,-9999,0,FALSE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,StWd,-9999,0,FALSE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,O3,41.3,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NOX,3.5,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO,0.6,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO2,2.9,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,Rain,-9999,2,FALSE
2025-04-07T00:30:00+02:00,Achisamach,78,SO2,0.9,1,TRUE
2025-04-07T00:30:00+02:00,Achisamach,78,WS,0.3,1,TRUE
2025-04-07T00:30:00+02:00,Achisamach,78,WD,193,1,TRUE
2025-04-07T00:30:00+02:00,Achisamach,78,O3,28.9,1,TRUE
2025-04-07T00:30:00+02:00,Achisamach,78,NOX,11.8,1,TRUE
2025-04-07T00:30:00+02:00,Achisamach,78,NO,0.6,1,TRUE
2025-04-07T00:30:00+02:00,Achisamach,78,NO2,11.2,1,TRUE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,SO2,293.5,6,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,WS,2.6,1,TRUE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,WD,126,1,TRUE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,O3,25.7,1,TRUE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,NOX,274.3,6,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,NO,273,6,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,NO2,1.3,6,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,Temp,-9999,0,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,RH,-9999,0,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,PM10,-9999,0,FALSE
2025-04-07T01:00:00+02:00,Beit Hashmonai,367,PM2.5,-9999,0,FALSE
2025-04-07T00:55:00+02:00,Yad Rambam New,338,SO2,2,5,FALSE
2025-04-07T00:55:00+02:00,Yad Rambam New,338,NOX,1.1,1,TRUE
2025-04-07T00:55:00+02:00,Yad Rambam New,338,NO,1,1,TRUE
2025-04-07T00:55:00+02:00,Yad Rambam New,338,NO2,0.1,1,TRUE
2025-04-07T00:55:00+02:00,Yad Rambam New,338,PM10,38.6,1,TRUE
2025-04-07T00:55:00+02:00,Yad Rambam New,338,PM2.5,15.73,1,TRUE
2025-04-07T01:00:00+02:00,Rehovot,32,SO2,0.8,1,TRUE
2025-04-07T01:00:00+02:00,Rehovot,32,NO,0.8,1,TRUE
2025-04-07T01:00:00+02:00,Rehovot,32,NOX,5.1,1,TRUE
2025-04-07T01:00:00+02:00,Rehovot,32,NO2,4.3,1,TRUE
2025-04-07T01:00:00+02:00,Rehovot,32,O3,43.3,1,TRUE
